Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,delay_band,satisfaction,satisfied_binary
Female,Disloyal Customer,24,Business travel,Eco,1182,4.0,5.0,5.0,4.0,2.0,5.0,2.0,2.0,3.0,3.0,5,3.0,5.0,2.0,0,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,12,Personal Travel,Eco Plus,308,2.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,5,5.0,5.0,1.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,53,Business travel,Eco,834,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3,4.0,4.0,1.0,28,8.0,1-15 min,neutral or dissatisfied,0
Male,Loyal Customer,33,Personal Travel,Eco,946,4.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,2,2.0,2.0,4.0,0,0.0,No delay,satisfied,1
Female,Loyal Customer,26,Personal Travel,Eco,453,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,2,2.0,1.0,2.0,43,35.0,16-60 min,neutral or dissatisfied,0
Male,Disloyal Customer,13,Business travel,Eco,486,2.0,1.0,2.0,3.0,4.0,2.0,1.0,4.0,2.0,1.0,4,1.0,3.0,4.0,1,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,26,Business travel,Business,2123,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,4,5.0,4.0,4.0,49,51.0,16-60 min,satisfied,1
Male,Loyal Customer,41,Business travel,Business,2075,4.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5,3.0,5.0,5.0,0,10.0,1-15 min,satisfied,1
Female,Loyal Customer,45,Business travel,Business,2486,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5,3.0,5.0,4.0,7,5.0,1-15 min,satisfied,1
Male,Loyal Customer,38,Personal Travel,Eco,460,2.0,3.0,3.0,2.0,5.0,3.0,5.0,5.0,1.0,2.0,4,3.0,2.0,5.0,17,18.0,16-60 min,neutral or dissatisfied,0
Male,Loyal Customer,9,Business travel,Eco,1174,2.0,4.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,5.0,3,4.0,3.0,2.0,0,4.0,1-15 min,neutral or dissatisfied,0
Female,Loyal Customer,17,Personal Travel,Eco,208,3.0,1.0,3.0,3.0,5.0,3.0,5.0,5.0,2.0,5.0,3,3.0,4.0,5.0,0,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,43,Personal Travel,Eco,752,3.0,5.0,3.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,5,3.0,3.0,4.0,52,29.0,16-60 min,neutral or dissatisfied,0
Female,Loyal Customer,58,Personal Travel,Eco,2139,4.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4,2.0,4.0,2.0,0,0.0,No delay,neutral or dissatisfied,0
Female,Disloyal Customer,23,Business travel,Eco,452,5.0,,5.0,1.0,1.0,5.0,1.0,1.0,4.0,5.0,5,3.0,5.0,1.0,54,44.0,16-60 min,satisfied,1
Male,Loyal Customer,57,Personal Travel,Eco,719,4.0,4.0,4.0,1.0,5.0,4.0,5.0,5.0,3.0,2.0,4,4.0,5.0,5.0,27,28.0,16-60 min,neutral or dissatisfied,0
Female,Loyal Customer,33,Business travel,Business,1561,1.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,4.0,4.0,3,5.0,4.0,2.0,0,0.0,No delay,satisfied,1
Female,Loyal Customer,49,Business travel,Eco Plus,315,4.0,4.0,4.0,4.0,2.0,2.0,1.0,4.0,4.0,4.0,4,2.0,4.0,2.0,0,8.0,1-15 min,satisfied,1
Female,Loyal Customer,36,Business travel,Business,3347,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,3,2.0,3.0,2.0,18,12.0,1-15 min,neutral or dissatisfied,0
Male,Loyal Customer,22,Personal Travel,Eco,2342,3.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,4.0,3,4.0,2.0,3.0,19,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,31,Business travel,Business,819,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,3,1.0,5.0,5.0,0,0.0,No delay,satisfied,1
Female,Disloyal Customer,15,Business travel,Eco,1043,2.0,2.0,2.0,3.0,5.0,2.0,5.0,5.0,3.0,1.0,4,2.0,4.0,5.0,3,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,35,Business travel,Business,2611,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,5,4.0,3.0,4.0,109,120.0,60+ min,satisfied,1
Female,Loyal Customer,67,Personal Travel,Eco,1192,4.0,5.0,4.0,1.0,2.0,4.0,5.0,5.0,5.0,4.0,3,5.0,5.0,5.0,18,24.0,16-60 min,neutral or dissatisfied,0
Male,Disloyal Customer,37,Business travel,Business,1182,3.0,3.0,3.0,4.0,1.0,3.0,1.0,1.0,4.0,1.0,3,1.0,4.0,1.0,9,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,40,Business travel,Eco,349,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,5.0,3,3.0,3.0,1.0,0,1.0,1-15 min,neutral or dissatisfied,0
Female,Disloyal Customer,34,Business travel,Business,883,3.0,4.0,4.0,3.0,5.0,4.0,2.0,5.0,5.0,4.0,5,4.0,5.0,5.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,40,Personal Travel,Eco Plus,550,4.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,5.0,1.0,4,3.0,4.0,2.0,23,20.0,16-60 min,neutral or dissatisfied,0
Female,Loyal Customer,47,Personal Travel,Eco,302,4.0,4.0,4.0,3.0,2.0,4.0,5.0,4.0,4.0,4.0,4,4.0,4.0,4.0,23,31.0,16-60 min,satisfied,1
Male,Disloyal Customer,41,Business travel,Business,354,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,4,4.0,4.0,1.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,39,Business travel,Business,1734,4.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4,4.0,4.0,3.0,0,0.0,No delay,satisfied,1
Female,Disloyal Customer,25,Business travel,Business,1452,3.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,5,5.0,5.0,3.0,9,23.0,16-60 min,neutral or dissatisfied,0
Male,Loyal Customer,41,Business travel,Business,296,,,,3.0,2.0,5.0,3.0,4.0,4.0,4.0,4,4.0,4.0,3.0,0,0.0,No delay,satisfied,1
Female,Loyal Customer,38,Business travel,Business,2882,3.0,3.0,3.0,3.0,2.0,1.0,4.0,5.0,5.0,5.0,5,2.0,5.0,4.0,0,0.0,No delay,satisfied,1
Female,Loyal Customer,50,Business travel,Business,460,1.0,1.0,1.0,1.0,3.0,5.0,5.0,3.0,3.0,3.0,3,4.0,3.0,5.0,1,15.0,1-15 min,satisfied,1
Male,Loyal Customer,29,Business travel,Business,529,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,4.0,2.0,5,5.0,4.0,5.0,4,0.0,No delay,satisfied,1
Female,Loyal Customer,22,Personal Travel,Business,349,2.0,4.0,2.0,1.0,4.0,2.0,4.0,4.0,4.0,5.0,4,4.0,5.0,4.0,0,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,13,Business travel,Business,1522,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,3,1.0,4.0,1.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,54,Business travel,Business,612,3.0,3.0,3.0,3.0,5.0,2.0,3.0,5.0,5.0,5.0,5,4.0,5.0,3.0,8,0.0,No delay,satisfied,1
Male,Loyal Customer,21,Personal Travel,Eco,1454,2.0,2.0,2.0,3.0,5.0,2.0,5.0,5.0,2.0,3.0,3,1.0,3.0,5.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,28,Business travel,Eco,731,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2,3.0,3.0,2.0,14,8.0,1-15 min,neutral or dissatisfied,0
Male,Loyal Customer,27,Business travel,Business,2076,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4,4.0,5.0,4.0,0,1.0,1-15 min,satisfied,1
Female,Loyal Customer,69,Business travel,Eco,309,5.0,5.0,5.0,5.0,1.0,2.0,3.0,5.0,5.0,5.0,5,4.0,5.0,2.0,0,0.0,No delay,satisfied,1
Male,Loyal Customer,35,Personal Travel,Eco,775,2.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3,4.0,1.0,4.0,1,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,60,Personal Travel,Eco,861,2.0,2.0,2.0,3.0,1.0,3.0,4.0,4.0,4.0,2.0,4,4.0,4.0,4.0,10,10.0,1-15 min,neutral or dissatisfied,0
Female,Loyal Customer,45,Business travel,Business,3334,2.0,4.0,2.0,2.0,4.0,5.0,5.0,4.0,4.0,4.0,4,3.0,4.0,5.0,51,48.0,16-60 min,satisfied,1
Female,Loyal Customer,57,Business travel,Business,2496,,,,1.0,3.0,4.0,5.0,5.0,5.0,5.0,5,4.0,5.0,5.0,0,5.0,1-15 min,satisfied,1
Male,Loyal Customer,40,Business travel,Business,602,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5,3.0,5.0,4.0,0,0.0,No delay,satisfied,1
Female,Disloyal Customer,38,Business travel,Business,308,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,4,2.0,3.0,4.0,39,26.0,16-60 min,neutral or dissatisfied,0
Male,Disloyal Customer,23,Business travel,Eco,446,2.0,4.0,2.0,1.0,4.0,2.0,4.0,4.0,4.0,2.0,4,5.0,5.0,4.0,4,0.0,No delay,neutral or dissatisfied,0
Male,Disloyal Customer,39,Business travel,Business,216,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,4,2.0,4.0,3.0,0,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,52,Business travel,Business,3475,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4.0,4.0,3.0,0,0.0,No delay,satisfied,1
Male,Disloyal Customer,25,Business travel,Eco,646,2.0,1.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,3,2.0,2.0,4.0,13,1.0,1-15 min,neutral or dissatisfied,0
Female,Loyal Customer,48,Business travel,Business,2501,3.0,3.0,3.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,5,4.0,5.0,4.0,0,0.0,No delay,satisfied,1
Female,Loyal Customer,59,Business travel,Business,2227,5.0,5.0,5.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,4,3.0,4.0,4.0,30,15.0,1-15 min,satisfied,1
Male,Loyal Customer,25,Business travel,Business,1426,3.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,4,4.0,4.0,4.0,4,0.0,No delay,satisfied,1
Male,Loyal Customer,38,Personal Travel,Eco,190,2.0,4.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0,2.0,4,4.0,5.0,4.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,46,Business travel,Business,1532,2.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,5,5.0,5.0,4.0,0,0.0,No delay,satisfied,1
Male,Loyal Customer,50,Business travel,Eco,308,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2,2.0,3.0,2.0,18,12.0,1-15 min,neutral or dissatisfied,0
Female,Loyal Customer,38,Business travel,Eco Plus,157,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,1,1.0,4.0,4.0,0,0.0,No delay,satisfied,1
Female,Loyal Customer,53,Business travel,Business,1506,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5,4.0,5.0,5.0,0,0.0,No delay,satisfied,1
Male,Loyal Customer,30,Business travel,Eco Plus,205,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,5.0,1,1.0,2.0,3.0,64,49.0,16-60 min,neutral or dissatisfied,0
Male,Disloyal Customer,39,Business travel,Business,895,2.0,2.0,2.0,4.0,5.0,2.0,5.0,5.0,5.0,4.0,4,5.0,5.0,5.0,0,2.0,1-15 min,neutral or dissatisfied,0
Male,Loyal Customer,66,Personal Travel,Eco Plus,516,1.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,4.0,5,5.0,5.0,2.0,0,37.0,16-60 min,neutral or dissatisfied,0
Male,Loyal Customer,45,Personal Travel,Eco,909,3.0,5.0,3.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,5,3.0,4.0,1.0,0,0.0,No delay,neutral or dissatisfied,0
Female,Disloyal Customer,25,Business travel,Business,1435,5.0,1.0,5.0,4.0,1.0,5.0,1.0,1.0,4.0,2.0,5,4.0,5.0,1.0,1,1.0,1-15 min,satisfied,1
Male,Loyal Customer,52,Business travel,Business,1190,2.0,4.0,4.0,4.0,1.0,4.0,3.0,2.0,2.0,2.0,2,1.0,2.0,4.0,0,6.0,1-15 min,neutral or dissatisfied,0
Male,Loyal Customer,64,Personal Travel,Eco,1259,4.0,5.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,5.0,3,4.0,4.0,2.0,20,5.0,1-15 min,satisfied,1
Female,Disloyal Customer,50,Business travel,Eco,216,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,1,4.0,4.0,4.0,0,0.0,No delay,neutral or dissatisfied,0
Female,Disloyal Customer,41,Business travel,Business,1670,2.0,1.0,1.0,2.0,3.0,2.0,4.0,3.0,3.0,5.0,3,4.0,5.0,3.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,26,Business travel,Business,3960,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,5,4.0,4.0,4.0,45,48.0,16-60 min,satisfied,1
Female,Disloyal Customer,25,Business travel,Eco,817,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2,3.0,3.0,3.0,0,0.0,No delay,neutral or dissatisfied,0
Female,Disloyal Customer,44,Business travel,Business,1670,3.0,3.0,3.0,4.0,5.0,3.0,5.0,5.0,3.0,2.0,4,2.0,4.0,5.0,0,8.0,1-15 min,neutral or dissatisfied,0
Female,Disloyal Customer,21,Business travel,Business,861,4.0,,4.0,4.0,1.0,4.0,1.0,1.0,3.0,4.0,4,4.0,5.0,1.0,0,0.0,No delay,satisfied,1
Male,Loyal Customer,47,Business travel,Business,406,2.0,2.0,2.0,2.0,3.0,5.0,5.0,4.0,4.0,4.0,4,5.0,4.0,4.0,44,50.0,16-60 min,satisfied,1
Male,Loyal Customer,31,Business travel,Eco Plus,404,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,2,4.0,2.0,4.0,17,3.0,1-15 min,satisfied,1
Female,Loyal Customer,57,Personal Travel,Eco Plus,500,3.0,5.0,3.0,2.0,3.0,4.0,5.0,5.0,5.0,3.0,5,4.0,5.0,5.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,44,Personal Travel,Eco,689,3.0,5.0,3.0,4.0,5.0,3.0,2.0,5.0,4.0,4.0,5,3.0,5.0,5.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,45,Business travel,Business,3100,3.0,3.0,3.0,3.0,1.0,1.0,3.0,4.0,4.0,4.0,4,3.0,4.0,1.0,0,0.0,No delay,satisfied,1
Male,Disloyal Customer,13,Business travel,Eco,525,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,3,1.0,4.0,3.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,60,Personal Travel,Eco,931,,5.0,,3.0,4.0,,3.0,4.0,4.0,5.0,5,4.0,5.0,4.0,0,0.0,No delay,satisfied,1
Female,Disloyal Customer,41,Business travel,Business,304,5.0,5.0,5.0,3.0,2.0,5.0,2.0,2.0,3.0,4.0,4,4.0,4.0,2.0,31,19.0,16-60 min,satisfied,1
Male,Loyal Customer,30,Business travel,Business,1896,4.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,3,4.0,2.0,4.0,81,72.0,60+ min,neutral or dissatisfied,0
Female,Loyal Customer,51,Business travel,Eco Plus,261,5.0,4.0,4.0,4.0,4.0,3.0,1.0,5.0,5.0,5.0,5,1.0,5.0,1.0,0,0.0,No delay,satisfied,1
Female,Loyal Customer,61,Business travel,Eco,347,2.0,5.0,5.0,5.0,5.0,2.0,4.0,3.0,3.0,2.0,3,3.0,3.0,4.0,0,11.0,1-15 min,satisfied,1
Female,Loyal Customer,32,Business travel,Eco,1042,4.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,1,5.0,2.0,4.0,35,34.0,16-60 min,satisfied,1
Female,Loyal Customer,39,Personal Travel,Eco,1773,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,2.0,2.0,3,3.0,1.0,5.0,14,18.0,16-60 min,neutral or dissatisfied,0
Male,Loyal Customer,19,Personal Travel,Business,342,3.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,3,1.0,3.0,3.0,0,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,15,Personal Travel,Eco Plus,297,1.0,5.0,1.0,3.0,5.0,1.0,5.0,5.0,5.0,1.0,1,3.0,4.0,5.0,67,62.0,60+ min,neutral or dissatisfied,0
Female,Disloyal Customer,42,Business travel,Business,883,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,2.0,4,3.0,4.0,3.0,22,27.0,16-60 min,satisfied,1
Female,Loyal Customer,16,Personal Travel,Eco,332,2.0,5.0,2.0,1.0,3.0,2.0,4.0,3.0,5.0,4.0,5,4.0,4.0,3.0,40,52.0,16-60 min,neutral or dissatisfied,0
Male,Loyal Customer,19,Business travel,Business,2388,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,1,5.0,4.0,4.0,0,0.0,No delay,satisfied,1
Female,Loyal Customer,29,Personal Travel,Eco,748,2.0,5.0,2.0,2.0,5.0,2.0,1.0,5.0,4.0,2.0,4,3.0,5.0,5.0,0,0.0,No delay,neutral or dissatisfied,0
Female,Disloyal Customer,27,Business travel,Eco Plus,1080,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,3,3.0,3.0,3.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Disloyal Customer,22,Business travel,Business,231,5.0,,5.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,4,3.0,1.0,5.0,0,0.0,No delay,satisfied,1
Female,Loyal Customer,15,Personal Travel,Eco,551,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,4,2.0,1.0,4.0,3,0.0,No delay,neutral or dissatisfied,0
Male,Disloyal Customer,11,Business travel,Eco,972,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0,4,2.0,1.0,1.0,0,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,34,Personal Travel,Eco,265,4.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,2.0,5.0,2,1.0,4.0,5.0,0,23.0,16-60 min,neutral or dissatisfied,0
Female,Disloyal Customer,26,Business travel,Eco,488,2.0,,2.0,4.0,1.0,2.0,1.0,1.0,3.0,2.0,5,1.0,3.0,1.0,0,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,26,Personal Travel,Eco,1144,3.0,5.0,2.0,2.0,4.0,2.0,4.0,4.0,5.0,4.0,5,3.0,5.0,4.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,53,Business travel,Business,2332,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4,4.0,4.0,3.0,0,3.0,1-15 min,satisfied,1
Male,Loyal Customer,36,Business travel,Business,3024,4.0,2.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,4,4.0,4.0,1.0,30,13.0,1-15 min,neutral or dissatisfied,0
Male,Loyal Customer,32,Business travel,Business,1750,1.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2,4.0,3.0,1.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,20,Personal Travel,Eco,483,2.0,3.0,2.0,3.0,5.0,2.0,5.0,5.0,5.0,2.0,3,2.0,4.0,5.0,91,82.0,60+ min,neutral or dissatisfied,0
Female,Loyal Customer,35,Business travel,Business,2128,2.0,2.0,2.0,2.0,1.0,5.0,1.0,4.0,4.0,4.0,4,5.0,4.0,4.0,0,0.0,No delay,satisfied,1
Male,Loyal Customer,15,Personal Travel,Eco,235,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,4,4.0,4.0,1.0,1,10.0,1-15 min,neutral or dissatisfied,0
Male,Loyal Customer,52,Personal Travel,Eco,689,2.0,5.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,2,2.0,2.0,3.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,45,Business travel,Business,1852,1.0,1.0,1.0,1.0,5.0,5.0,4.0,2.0,2.0,2.0,2,5.0,2.0,5.0,0,0.0,No delay,satisfied,1
Female,Disloyal Customer,24,Business travel,Eco,372,4.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,5.0,4.0,4,4.0,4.0,3.0,21,23.0,16-60 min,neutral or dissatisfied,0
Female,Loyal Customer,46,Business travel,Business,3705,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4,0.0,No delay,neutral or dissatisfied,0
Male,Disloyal Customer,26,Business travel,Eco,416,3.0,,3.0,3.0,1.0,3.0,1.0,1.0,3.0,5.0,2,3.0,3.0,1.0,0,9.0,1-15 min,neutral or dissatisfied,0
Male,Loyal Customer,28,Business travel,Eco,337,4.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,3.0,2,3.0,2.0,4.0,3,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,11,Personal Travel,Eco,335,1.0,5.0,1.0,3.0,3.0,1.0,3.0,3.0,4.0,2.0,4,5.0,5.0,3.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,45,Business travel,Business,1400,5.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,4.0,4.0,4,3.0,4.0,5.0,4,9.0,1-15 min,satisfied,1
Male,Loyal Customer,62,Personal Travel,Eco,2521,4.0,5.0,4.0,3.0,4.0,1.0,1.0,5.0,3.0,5.0,4,1.0,4.0,1.0,7,30.0,16-60 min,neutral or dissatisfied,0
Female,Loyal Customer,34,Business travel,Business,374,3.0,3.0,3.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,4,5.0,4.0,3.0,0,0.0,No delay,satisfied,1
Male,Loyal Customer,51,Business travel,Business,308,2.0,2.0,2.0,2.0,4.0,5.0,5.0,4.0,4.0,4.0,4,3.0,4.0,5.0,17,8.0,1-15 min,satisfied,1
Female,Loyal Customer,58,Business travel,Eco Plus,575,1.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,1.0,2,2.0,2.0,4.0,14,16.0,16-60 min,neutral or dissatisfied,0
Male,Loyal Customer,22,Personal Travel,Eco,618,3.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,4,5.0,5.0,3.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,8,Business travel,Eco,1304,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4,2.0,1.0,4.0,0,0.0,No delay,satisfied,1
Male,Disloyal Customer,26,Business travel,Business,351,4.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,4.0,5.0,4,4.0,5.0,2.0,4,11.0,1-15 min,satisfied,1
Female,Loyal Customer,22,Personal Travel,Eco,549,4.0,,4.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,5,4.0,5.0,3.0,15,3.0,1-15 min,neutral or dissatisfied,0
Female,Loyal Customer,21,Business travel,Business,3510,3.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3,1.0,3.0,3.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,31,Business travel,Business,1620,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2,3.0,4.0,3.0,0,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,44,Personal Travel,Eco,326,2.0,,2.0,2.0,2.0,3.0,5.0,1.0,1.0,2.0,1,2.0,1.0,5.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,27,Business travel,Business,588,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,5,3.0,5.0,5.0,0,0.0,No delay,satisfied,1
